query,pandas_function_call
Compute running product for weight,df['weight'].cumprod()
Find the median of weight,df['weight'].median()
Compute running min for height,df['height'].cummin()
Find minimum of profit,df['profit'].min()
Show highest value for age,df['age'].max()
Get the min of sales,df['sales'].min()
Find cumulative max of height,df['height'].cummax()
Get the min of sales,df['sales'].min()
Find skewness of score,df['score'].skew()
Find number of unique values in weight,df['weight'].nunique()
Get the min of temperature,df['temperature'].min()
Show distinct entries for sales,df['sales'].unique()
Find cumulative max of profit,df['profit'].cummax()
Find standard deviation of weight,df['weight'].std()
Find variance of weight,df['weight'].var()
Compute mode for score,df['score'].mode()
Compute percentile for profit,df['profit'].quantile(0.5)
Show covariance of height,df.cov()['height']
Find variance of price,df['price'].var()
Compute covariance for age,df.cov()['age']
Get quantile for revenue,df['revenue'].quantile(0.5)
Show kurtosis of weight,df['weight'].kurt()
Get cumsum for age,df['age'].cumsum()
Find value counts of price,df['price'].value_counts()
Compute running product for score,df['score'].cumprod()
Compute change for score,df['score'].diff()
Get the min of age,df['age'].min()
Get cummin for expenses,df['expenses'].cummin()
Compute value counts of sales,df['sales'].value_counts()
Find median quantile of height,df['height'].quantile(0.5)
Find number of unique values in temperature,df['temperature'].nunique()
Get the min of age,df['age'].min()
Find minimum of sales,df['sales'].min()
Compute change for weight,df['weight'].diff()
Count entries in age,df['age'].count()
Find minimum of revenue,df['revenue'].min()
Show highest value for height,df['height'].max()
Compute MAD for sales,df['sales'].mad()
Find cumulative product of age,df['age'].cumprod()
Compute MAD for weight,df['weight'].mad()
Total count for temperature,df['temperature'].count()
Find median quantile of revenue,df['revenue'].quantile(0.5)
Find skewness of height,df['height'].skew()
Count entries in age,df['age'].count()
Find percentage change in score,df['score'].pct_change()
Show covariance of profit,df.cov()['profit']
Get quantile for revenue,df['revenue'].quantile(0.5)
Describe values of price,df['price'].describe()
Find the average of expenses,df['expenses'].mean()
Get total of age,df['age'].sum()
Find the sum of revenue,df['revenue'].sum()
Compute MAD for age,df['age'].mad()
Compute running product for revenue,df['revenue'].cumprod()
Get summary of score,df['score'].describe()
Find mean absolute deviation of price,df['price'].mad()
Show percent change of revenue,df['revenue'].pct_change()
Show distinct entries for score,df['score'].unique()
Get cummax for score,df['score'].cummax()
Compute running total for temperature,df['temperature'].cumsum()
Find the average of sales,df['sales'].mean()
Show lowest value for revenue,df['revenue'].min()
Compute skew for sales,df['sales'].skew()
Get unique values of revenue,df['revenue'].unique()
Compute MAD for price,df['price'].mad()
Show frequency distribution for height,df['height'].value_counts()
Find standard deviation of profit,df['profit'].std()
Compute kurtosis for temperature,df['temperature'].kurt()
Find standard deviation of age,df['age'].std()
Get variation in temperature,df['temperature'].std()
Get statistical variance of weight,df['weight'].var()
Calculate sum for revenue,df['revenue'].sum()
Find the sum of temperature,df['temperature'].sum()
Show percent change of price,df['price'].pct_change()
Get nunique of score,df['score'].nunique()
Show frequency distribution for revenue,df['revenue'].value_counts()
Show covariance of height,df.cov()['height']
Compute std for height,df['height'].std()
Get total of expenses,df['expenses'].sum()
Find correlation with revenue,df.corr()['revenue']
Compute running min for sales,df['sales'].cummin()
Find number of unique values in price,df['price'].nunique()
Get unique values of revenue,df['revenue'].unique()
Get cummax for score,df['score'].cummax()
Show mean of temperature,df['temperature'].mean()
Get middle value of age,df['age'].median()
Show lowest value for sales,df['sales'].min()
Compute change for price,df['price'].diff()
Find cumulative max of price,df['price'].cummax()
Get quantile for price,df['price'].quantile(0.5)
Show frequency distribution for height,df['height'].value_counts()
Find minimum of revenue,df['revenue'].min()
Find skewness of height,df['height'].skew()
Compute percentile for temperature,df['temperature'].quantile(0.5)
Get quantile for revenue,df['revenue'].quantile(0.5)
Count unique entries for profit,df['profit'].nunique()
Find the median of score,df['score'].median()
Find maximum of price,df['price'].max()
Show relationship of profit,df.corr()['profit']
Find value counts of age,df['age'].value_counts()
Get nunique of temperature,df['temperature'].nunique()
Compute median for profit,df['profit'].median()
Show distinct entries for height,df['height'].unique()
Count entries in temperature,df['temperature'].count()
Find percentage change in sales,df['sales'].pct_change()
Get cummax for temperature,df['temperature'].cummax()
Find number of unique values in profit,df['profit'].nunique()
Compute mean for age,df['age'].mean()
Count unique entries for age,df['age'].nunique()
Compute correlation for price,df.corr()['price']
Get cumsum for weight,df['weight'].cumsum()
Compute kurtosis for height,df['height'].kurt()
Find cumulative max of price,df['price'].cummax()
Find median quantile of temperature,df['temperature'].quantile(0.5)
Find maximum of height,df['height'].max()
Compute pct change for expenses,df['expenses'].pct_change()
Find cumulative sum of score,df['score'].cumsum()
Get nunique of height,df['height'].nunique()
Get most frequent value in expenses,df['expenses'].mode()
Find correlation with temperature,df.corr()['temperature']
Compute running total for expenses,df['expenses'].cumsum()
Show kurtosis of score,df['score'].kurt()
Show highest value for price,df['price'].max()
Get cummax for expenses,df['expenses'].cummax()
Get statistical variance of revenue,df['revenue'].var()
Find cumulative max of profit,df['profit'].cummax()
Compute MAD for height,df['height'].mad()
Compute skew for expenses,df['expenses'].skew()
Find cumulative sum of temperature,df['temperature'].cumsum()
Find covariance of profit,df.cov()['profit']
Show relationship of temperature,df.corr()['temperature']
Find cumulative sum of price,df['price'].cumsum()
Show covariance of height,df.cov()['height']
Find correlation with height,df.corr()['height']
Find correlation with temperature,df.corr()['temperature']
Find median quantile of weight,df['weight'].quantile(0.5)
Find minimum of score,df['score'].min()
Calculate sum for price,df['price'].sum()
Show frequency distribution for score,df['score'].value_counts()
Show statistics for price,df['price'].describe()
Find cumulative product of temperature,df['temperature'].cumprod()
Show skew value for price,df['price'].skew()
Compute kurtosis for price,df['price'].kurt()
Get cummin for score,df['score'].cummin()
Show relationship of profit,df.corr()['profit']
Find percentage change in height,df['height'].pct_change()
Compute MAD for price,df['price'].mad()
Find mode of temperature,df['temperature'].mode()
Compute pct change for weight,df['weight'].pct_change()
Get the max of sales,df['sales'].max()
Get unique values of price,df['price'].unique()
Calculate sum for revenue,df['revenue'].sum()
Show skew value for sales,df['sales'].skew()
Count unique entries for height,df['height'].nunique()
Find unique values in expenses,df['expenses'].unique()
Get variation in age,df['age'].std()
Compute variance for revenue,df['revenue'].var()
Get cummin for weight,df['weight'].cummin()
Get diff for age,df['age'].diff()
Find the median of profit,df['profit'].median()
Show distinct entries for height,df['height'].unique()
Get variation in score,df['score'].std()
Get unique values of revenue,df['revenue'].unique()
Calculate sum for price,df['price'].sum()
Total count for price,df['price'].count()
Find kurtosis of price,df['price'].kurt()
Find the average of temperature,df['temperature'].mean()
Find difference in profit,df['profit'].diff()
Find kurtosis of weight,df['weight'].kurt()
Count unique entries for age,df['age'].nunique()
Compute running min for expenses,df['expenses'].cummin()
Find cumulative max of score,df['score'].cummax()
Get variation in sales,df['sales'].std()
Compute value counts of price,df['price'].value_counts()
Compute change for profit,df['profit'].diff()
Get total of weight,df['weight'].sum()
Count entries in sales,df['sales'].count()
Get total of profit,df['profit'].sum()
Find covariance of age,df.cov()['age']
Show kurtosis of weight,df['weight'].kurt()
Find correlation with score,df.corr()['score']
Compute std for profit,df['profit'].std()
Compute value counts of profit,df['profit'].value_counts()
Calculate sum for height,df['height'].sum()
Find maximum of price,df['price'].max()
Compute pct change for temperature,df['temperature'].pct_change()
Get cumsum for height,df['height'].cumsum()
Find mode of expenses,df['expenses'].mode()
Get the min of weight,df['weight'].min()
Find value counts of expenses,df['expenses'].value_counts()
Show covariance of expenses,df.cov()['expenses']
Get cumsum for weight,df['weight'].cumsum()
Get quantile for expenses,df['expenses'].quantile(0.5)
Compute running max for height,df['height'].cummax()
Compute std for height,df['height'].std()
Get middle value of weight,df['weight'].median()
Show statistics for sales,df['sales'].describe()
Get total of temperature,df['temperature'].sum()
Compute kurtosis for expenses,df['expenses'].kurt()
Find percentage change in age,df['age'].pct_change()
Find kurtosis of profit,df['profit'].kurt()
Get nunique of temperature,df['temperature'].nunique()
Compute pct change for age,df['age'].pct_change()
Find skewness of expenses,df['expenses'].skew()
Compute std for revenue,df['revenue'].std()
Total count for revenue,df['revenue'].count()
Compute MAD for weight,df['weight'].mad()
Get the max of height,df['height'].max()
Get the min of weight,df['weight'].min()
Compute running max for weight,df['weight'].cummax()
Find kurtosis of price,df['price'].kurt()
Compute skew for profit,df['profit'].skew()
Show skew value for expenses,df['expenses'].skew()
Compute percentile for temperature,df['temperature'].quantile(0.5)
Get diff for sales,df['sales'].diff()
Show skew value for revenue,df['revenue'].skew()
Compute kurtosis for price,df['price'].kurt()
Find percentage change in expenses,df['expenses'].pct_change()
Get unique values of age,df['age'].unique()
Get cummax for weight,df['weight'].cummax()
Find kurtosis of weight,df['weight'].kurt()
Get MAD of profit,df['profit'].mad()
Find cumulative product of price,df['price'].cumprod()
Show statistics for expenses,df['expenses'].describe()
Compute percentile for profit,df['profit'].quantile(0.5)
Get cummax for height,df['height'].cummax()
Show kurtosis of expenses,df['expenses'].kurt()
Compute change for age,df['age'].diff()
Compute value counts of revenue,df['revenue'].value_counts()
Find value counts of weight,df['weight'].value_counts()
Compute MAD for profit,df['profit'].mad()
Get summary of revenue,df['revenue'].describe()
Show highest value for profit,df['profit'].max()
Find difference in revenue,df['revenue'].diff()
Get total of expenses,df['expenses'].sum()
Compute std for price,df['price'].std()
Get middle value of weight,df['weight'].median()
Get diff for age,df['age'].diff()
Get nunique of score,df['score'].nunique()
Compute value counts of temperature,df['temperature'].value_counts()
Get unique values of temperature,df['temperature'].unique()
Compute skew for score,df['score'].skew()
Get the min of score,df['score'].min()
Compute pct change for weight,df['weight'].pct_change()
Get MAD of revenue,df['revenue'].mad()
Show highest value for sales,df['sales'].max()
Find the average of revenue,df['revenue'].mean()
Count entries in age,df['age'].count()
Find maximum of height,df['height'].max()
Get summary of temperature,df['temperature'].describe()
Compute running max for profit,df['profit'].cummax()
Get cumprod for sales,df['sales'].cumprod()
Compute running total for sales,df['sales'].cumsum()
Find cumulative min of age,df['age'].cummin()
Show statistics for expenses,df['expenses'].describe()
Find mean absolute deviation of temperature,df['temperature'].mad()
Find variance of score,df['score'].var()
Find cumulative product of height,df['height'].cumprod()
Compute std for height,df['height'].std()
Find cumulative product of temperature,df['temperature'].cumprod()
Get cummax for temperature,df['temperature'].cummax()
Find maximum of profit,df['profit'].max()
Show lowest value for revenue,df['revenue'].min()
Compute mean for price,df['price'].mean()
Find minimum of expenses,df['expenses'].min()
Find cumulative min of score,df['score'].cummin()
Find number of unique values in expenses,df['expenses'].nunique()
Get cumprod for price,df['price'].cumprod()
Get most frequent value in weight,df['weight'].mode()
Calculate sum for weight,df['weight'].sum()
Get cumsum for profit,df['profit'].cumsum()
Compute value counts of expenses,df['expenses'].value_counts()
Get diff for expenses,df['expenses'].diff()
Compute std for temperature,df['temperature'].std()
Get diff for expenses,df['expenses'].diff()
Calculate sum for height,df['height'].sum()
Show lowest value for height,df['height'].min()
Show percent change of age,df['age'].pct_change()
Find the average of temperature,df['temperature'].mean()
Describe values of expenses,df['expenses'].describe()
Find maximum of weight,df['weight'].max()
Compute change for price,df['price'].diff()
Get unique values of price,df['price'].unique()
Get the min of score,df['score'].min()
Get cummin for weight,df['weight'].cummin()
Compute correlation for expenses,df.corr()['expenses']
Compute running max for expenses,df['expenses'].cummax()
Get summary of expenses,df['expenses'].describe()
Count entries in sales,df['sales'].count()
Count entries in temperature,df['temperature'].count()
Get statistical variance of price,df['price'].var()
Show highest value for sales,df['sales'].max()
Show relationship of revenue,df.corr()['revenue']
Get middle value of temperature,df['temperature'].median()
Get the max of score,df['score'].max()
Find the median of price,df['price'].median()
Find percentage change in profit,df['profit'].pct_change()
Show frequency distribution for price,df['price'].value_counts()
Get the max of score,df['score'].max()
Find value counts of profit,df['profit'].value_counts()
Show percent change of age,df['age'].pct_change()
Find cumulative max of price,df['price'].cummax()
Compute kurtosis for price,df['price'].kurt()
Compute mode for temperature,df['temperature'].mode()
Find mean absolute deviation of profit,df['profit'].mad()
Show skew value for sales,df['sales'].skew()
Find skewness of price,df['price'].skew()
Find cumulative sum of height,df['height'].cumsum()
Get MAD of age,df['age'].mad()
Find cumulative max of sales,df['sales'].cummax()
Compute mean for score,df['score'].mean()
Find skewness of price,df['price'].skew()
Get cummin for age,df['age'].cummin()
Show frequency distribution for price,df['price'].value_counts()
Find kurtosis of sales,df['sales'].kurt()
Find unique values in weight,df['weight'].unique()
Compute variance for weight,df['weight'].var()
Find skewness of price,df['price'].skew()
Show lowest value for height,df['height'].min()
Get MAD of temperature,df['temperature'].mad()
Show distinct entries for revenue,df['revenue'].unique()
Get cumsum for score,df['score'].cumsum()
Show frequency distribution for revenue,df['revenue'].value_counts()
Find the median of expenses,df['expenses'].median()
Show distinct entries for score,df['score'].unique()
Get cummax for sales,df['sales'].cummax()
Get total of temperature,df['temperature'].sum()
Show skew value for age,df['age'].skew()
Find cumulative min of height,df['height'].cummin()
Get quantile for price,df['price'].quantile(0.5)
Calculate sum for price,df['price'].sum()
Show percent change of age,df['age'].pct_change()
Find cumulative max of expenses,df['expenses'].cummax()
Compute covariance for revenue,df.cov()['revenue']
Get cummin for sales,df['sales'].cummin()
Get quantile for price,df['price'].quantile(0.5)
Get cumprod for sales,df['sales'].cumprod()
Show skew value for price,df['price'].skew()
Show frequency distribution for expenses,df['expenses'].value_counts()
Compute median for score,df['score'].median()
Show statistics for score,df['score'].describe()
Find value counts of price,df['price'].value_counts()
Get unique values of weight,df['weight'].unique()
Get quantile for sales,df['sales'].quantile(0.5)
Get cumprod for sales,df['sales'].cumprod()
Get middle value of age,df['age'].median()
Find percentage change in height,df['height'].pct_change()
Find cumulative product of height,df['height'].cumprod()
Compute mean for price,df['price'].mean()
Find correlation with score,df.corr()['score']
Show lowest value for score,df['score'].min()
Compute running min for score,df['score'].cummin()
Compute pct change for revenue,df['revenue'].pct_change()
Find mean absolute deviation of expenses,df['expenses'].mad()
Find standard deviation of score,df['score'].std()
Get variation in sales,df['sales'].std()
Find skewness of temperature,df['temperature'].skew()
Get most frequent value in expenses,df['expenses'].mode()
Get cumprod for profit,df['profit'].cumprod()
Show statistics for score,df['score'].describe()
Get cummax for revenue,df['revenue'].cummax()
Find minimum of revenue,df['revenue'].min()
Compute std for temperature,df['temperature'].std()
Get the max of sales,df['sales'].max()
Find covariance of sales,df.cov()['sales']
Find value counts of height,df['height'].value_counts()
Get variation in revenue,df['revenue'].std()
Compute MAD for temperature,df['temperature'].mad()
Find value counts of weight,df['weight'].value_counts()
Get MAD of revenue,df['revenue'].mad()
Compute value counts of expenses,df['expenses'].value_counts()
Compute median for height,df['height'].median()
Compute std for temperature,df['temperature'].std()
Find minimum of height,df['height'].min()
Get the min of temperature,df['temperature'].min()
Compute variance for expenses,df['expenses'].var()
Compute covariance for age,df.cov()['age']
Find skewness of price,df['price'].skew()
Compute covariance for price,df.cov()['price']
Find cumulative min of profit,df['profit'].cummin()
Count entries in temperature,df['temperature'].count()
Compute skew for expenses,df['expenses'].skew()
Find the median of sales,df['sales'].median()
Compute pct change for price,df['price'].pct_change()
Count unique entries for sales,df['sales'].nunique()
Get cumsum for weight,df['weight'].cumsum()
Count entries in price,df['price'].count()
Get statistical variance of height,df['height'].var()
Show skew value for temperature,df['temperature'].skew()
Find number of unique values in profit,df['profit'].nunique()
Find variance of expenses,df['expenses'].var()
Compute skew for score,df['score'].skew()
Get cumprod for temperature,df['temperature'].cumprod()
Get the min of temperature,df['temperature'].min()
Show statistics for profit,df['profit'].describe()
Calculate sum for price,df['price'].sum()
Get cummax for expenses,df['expenses'].cummax()
Show kurtosis of profit,df['profit'].kurt()
Show percent change of temperature,df['temperature'].pct_change()
Find number of unique values in weight,df['weight'].nunique()
Find number of records for price,df['price'].count()
Compute mode for score,df['score'].mode()
Find covariance of temperature,df.cov()['temperature']
Find value counts of height,df['height'].value_counts()
Get cummin for expenses,df['expenses'].cummin()
Compute median for weight,df['weight'].median()
Show frequency distribution for weight,df['weight'].value_counts()
Find difference in price,df['price'].diff()
Get cummax for score,df['score'].cummax()
Find maximum of score,df['score'].max()
Get most frequent value in age,df['age'].mode()
Find mode of sales,df['sales'].mode()
Compute skew for age,df['age'].skew()
Get statistical variance of profit,df['profit'].var()
Show covariance of profit,df.cov()['profit']
Find cumulative product of sales,df['sales'].cumprod()
Compute mode for revenue,df['revenue'].mode()
Find mean absolute deviation of price,df['price'].mad()
Show mean of height,df['height'].mean()
Find cumulative max of weight,df['weight'].cummax()
Compute value counts of sales,df['sales'].value_counts()
Show mean of expenses,df['expenses'].mean()
Count unique entries for score,df['score'].nunique()
Get variation in price,df['price'].std()
Get statistical variance of weight,df['weight'].var()
Compute mode for age,df['age'].mode()
Show statistics for expenses,df['expenses'].describe()
Compute value counts of sales,df['sales'].value_counts()
Get the min of weight,df['weight'].min()
Get the min of profit,df['profit'].min()
Find covariance of age,df.cov()['age']
Compute MAD for temperature,df['temperature'].mad()
Get variation in height,df['height'].std()
Find cumulative sum of age,df['age'].cumsum()
Find median quantile of revenue,df['revenue'].quantile(0.5)
Compute running min for profit,df['profit'].cummin()
Show percent change of expenses,df['expenses'].pct_change()
Compute covariance for profit,df.cov()['profit']
Find cumulative sum of sales,df['sales'].cumsum()
Find mode of age,df['age'].mode()
Find kurtosis of score,df['score'].kurt()
Get summary of score,df['score'].describe()
Get statistical variance of age,df['age'].var()
Compute running total for price,df['price'].cumsum()
Find variance of temperature,df['temperature'].var()
Get nunique of weight,df['weight'].nunique()
Get unique values of temperature,df['temperature'].unique()
Compute correlation for age,df.corr()['age']
Show covariance of expenses,df.cov()['expenses']
Compute running max for age,df['age'].cummax()
Get summary of sales,df['sales'].describe()
Find percentage change in temperature,df['temperature'].pct_change()
Get nunique of score,df['score'].nunique()
Find mean absolute deviation of sales,df['sales'].mad()
Show lowest value for expenses,df['expenses'].min()
Find number of unique values in weight,df['weight'].nunique()
Show covariance of weight,df.cov()['weight']
Compute MAD for expenses,df['expenses'].mad()
Compute pct change for expenses,df['expenses'].pct_change()
Get the max of revenue,df['revenue'].max()
Get cummin for temperature,df['temperature'].cummin()
Show frequency distribution for height,df['height'].value_counts()
Compute median for age,df['age'].median()
Describe values of temperature,df['temperature'].describe()
Find minimum of score,df['score'].min()
Compute MAD for price,df['price'].mad()
Find variance of height,df['height'].var()
Find the average of score,df['score'].mean()
Compute std for revenue,df['revenue'].std()
Find number of records for weight,df['weight'].count()
Find the average of weight,df['weight'].mean()
Get statistical variance of price,df['price'].var()
Compute MAD for age,df['age'].mad()
Find mode of height,df['height'].mode()
Find unique values in profit,df['profit'].unique()
Find correlation with sales,df.corr()['sales']
Get the max of sales,df['sales'].max()
Show percent change of price,df['price'].pct_change()
Find value counts of expenses,df['expenses'].value_counts()
Compute MAD for height,df['height'].mad()
Find number of records for sales,df['sales'].count()
Get the min of score,df['score'].min()
Calculate sum for price,df['price'].sum()
Show highest value for revenue,df['revenue'].max()
Get cumprod for weight,df['weight'].cumprod()
Get total of weight,df['weight'].sum()
Compute value counts of profit,df['profit'].value_counts()
Get most frequent value in sales,df['sales'].mode()
Find unique values in expenses,df['expenses'].unique()
Find cumulative sum of height,df['height'].cumsum()
Compute percentile for sales,df['sales'].quantile(0.5)
Get variation in expenses,df['expenses'].std()
Get the min of height,df['height'].min()
Find skewness of temperature,df['temperature'].skew()
Get cumprod for expenses,df['expenses'].cumprod()
Get cummin for profit,df['profit'].cummin()
Get quantile for age,df['age'].quantile(0.5)
Compute running min for weight,df['weight'].cummin()
Compute correlation for profit,df.corr()['profit']
Get the max of sales,df['sales'].max()
Show lowest value for age,df['age'].min()
Compute mode for expenses,df['expenses'].mode()
Show statistics for age,df['age'].describe()
Find median quantile of age,df['age'].quantile(0.5)
Show mean of weight,df['weight'].mean()
Compute correlation for temperature,df.corr()['temperature']
Find the average of profit,df['profit'].mean()
Get cummin for profit,df['profit'].cummin()
Get statistical variance of profit,df['profit'].var()
Show statistics for expenses,df['expenses'].describe()
Get nunique of weight,df['weight'].nunique()
Get variation in profit,df['profit'].std()
Find mean absolute deviation of age,df['age'].mad()
Get the max of temperature,df['temperature'].max()
Get nunique of height,df['height'].nunique()
Find covariance of score,df.cov()['score']
Get variation in expenses,df['expenses'].std()
Show highest value for weight,df['weight'].max()
Show kurtosis of score,df['score'].kurt()
Show skew value for height,df['height'].skew()
Find percentage change in sales,df['sales'].pct_change()
Compute change for price,df['price'].diff()
Compute variance for weight,df['weight'].var()
Get summary of revenue,df['revenue'].describe()
Compute value counts of profit,df['profit'].value_counts()
Show lowest value for profit,df['profit'].min()
Find variance of weight,df['weight'].var()
Compute mean for age,df['age'].mean()
Get quantile for age,df['age'].quantile(0.5)
Show covariance of sales,df.cov()['sales']
Find cumulative min of score,df['score'].cummin()
Show highest value for age,df['age'].max()
Get the min of revenue,df['revenue'].min()
Get nunique of height,df['height'].nunique()
Count entries in score,df['score'].count()
Find median quantile of age,df['age'].quantile(0.5)
Find median quantile of revenue,df['revenue'].quantile(0.5)
Find mode of profit,df['profit'].mode()
Find difference in temperature,df['temperature'].diff()
Find standard deviation of expenses,df['expenses'].std()
Get total of score,df['score'].sum()
Show statistics for expenses,df['expenses'].describe()
Get summary of age,df['age'].describe()
Compute kurtosis for expenses,df['expenses'].kurt()
Show highest value for age,df['age'].max()
Find value counts of profit,df['profit'].value_counts()
Get middle value of price,df['price'].median()
Get diff for weight,df['weight'].diff()
Total count for revenue,df['revenue'].count()
Find percentage change in sales,df['sales'].pct_change()
Compute skew for profit,df['profit'].skew()
Show mean of price,df['price'].mean()
Get summary of score,df['score'].describe()
Get cumsum for sales,df['sales'].cumsum()
Show highest value for score,df['score'].max()
Compute mean for profit,df['profit'].mean()
Show distinct entries for sales,df['sales'].unique()
Get the min of age,df['age'].min()
Find the sum of revenue,df['revenue'].sum()
Find mean absolute deviation of score,df['score'].mad()
Get cumsum for sales,df['sales'].cumsum()
Find difference in weight,df['weight'].diff()
Get statistical variance of expenses,df['expenses'].var()
Compute mode for profit,df['profit'].mode()
Find percentage change in score,df['score'].pct_change()
Show covariance of sales,df.cov()['sales']
Compute median for weight,df['weight'].median()
Get cummax for temperature,df['temperature'].cummax()
Get the min of sales,df['sales'].min()
Calculate sum for revenue,df['revenue'].sum()
Compute std for expenses,df['expenses'].std()
Find the sum of weight,df['weight'].sum()
Get cumprod for weight,df['weight'].cumprod()
Compute pct change for height,df['height'].pct_change()
Show highest value for temperature,df['temperature'].max()
Compute variance for weight,df['weight'].var()
Find variance of score,df['score'].var()
Get total of revenue,df['revenue'].sum()
Compute MAD for score,df['score'].mad()
Get quantile for sales,df['sales'].quantile(0.5)
Compute kurtosis for weight,df['weight'].kurt()
Find number of unique values in profit,df['profit'].nunique()
Find unique values in weight,df['weight'].unique()
Get summary of height,df['height'].describe()
Show kurtosis of temperature,df['temperature'].kurt()
Find mode of revenue,df['revenue'].mode()
Find kurtosis of sales,df['sales'].kurt()
Count unique entries for temperature,df['temperature'].nunique()
Find cumulative max of price,df['price'].cummax()
Get MAD of weight,df['weight'].mad()
Count entries in profit,df['profit'].count()
Find correlation with revenue,df.corr()['revenue']
Get MAD of weight,df['weight'].mad()
Get summary of profit,df['profit'].describe()
Compute running min for height,df['height'].cummin()
Find value counts of age,df['age'].value_counts()
Get the min of sales,df['sales'].min()
Show kurtosis of weight,df['weight'].kurt()
Get unique values of profit,df['profit'].unique()
Find skewness of age,df['age'].skew()
Compute std for price,df['price'].std()
Get diff for sales,df['sales'].diff()
Find number of unique values in sales,df['sales'].nunique()
Find mode of expenses,df['expenses'].mode()
Get cummin for height,df['height'].cummin()
Get nunique of temperature,df['temperature'].nunique()
Find cumulative product of revenue,df['revenue'].cumprod()
Compute variance for price,df['price'].var()
Get most frequent value in age,df['age'].mode()
Calculate sum for score,df['score'].sum()
Get statistical variance of sales,df['sales'].var()
Find correlation with height,df.corr()['height']
Get cumsum for height,df['height'].cumsum()
Find value counts of temperature,df['temperature'].value_counts()
Find standard deviation of expenses,df['expenses'].std()
Get cummax for weight,df['weight'].cummax()
Get cummax for sales,df['sales'].cummax()
Get middle value of weight,df['weight'].median()
Compute mean for temperature,df['temperature'].mean()
Get total of temperature,df['temperature'].sum()
Show kurtosis of score,df['score'].kurt()
Compute running min for revenue,df['revenue'].cummin()
Find number of records for temperature,df['temperature'].count()
Get summary of price,df['price'].describe()
Count unique entries for temperature,df['temperature'].nunique()
Count entries in age,df['age'].count()
Find the median of revenue,df['revenue'].median()
Get MAD of weight,df['weight'].mad()
Compute running min for revenue,df['revenue'].cummin()
Compute mode for score,df['score'].mode()
Find standard deviation of profit,df['profit'].std()
Show skew value for temperature,df['temperature'].skew()
Find the median of expenses,df['expenses'].median()
Get most frequent value in revenue,df['revenue'].mode()
Find correlation with temperature,df.corr()['temperature']
Get nunique of temperature,df['temperature'].nunique()
Compute kurtosis for weight,df['weight'].kurt()
Count unique entries for age,df['age'].nunique()
Find variance of score,df['score'].var()
Find percentage change in profit,df['profit'].pct_change()
Find variance of score,df['score'].var()
Find variance of profit,df['profit'].var()
Find number of unique values in revenue,df['revenue'].nunique()
Find median quantile of sales,df['sales'].quantile(0.5)
Get most frequent value in sales,df['sales'].mode()
Compute mean for age,df['age'].mean()
Get variation in sales,df['sales'].std()
Describe values of weight,df['weight'].describe()
Get the min of temperature,df['temperature'].min()
Compute running max for expenses,df['expenses'].cummax()
Calculate sum for profit,df['profit'].sum()
Compute running product for height,df['height'].cumprod()
Find difference in sales,df['sales'].diff()
Find cumulative min of weight,df['weight'].cummin()
Compute change for temperature,df['temperature'].diff()
Find skewness of sales,df['sales'].skew()
Get diff for profit,df['profit'].diff()
Find percentage change in revenue,df['revenue'].pct_change()
Count entries in weight,df['weight'].count()
Find standard deviation of price,df['price'].std()
Find correlation with sales,df.corr()['sales']
Compute variance for score,df['score'].var()
Find covariance of revenue,df.cov()['revenue']
Compute percentile for price,df['price'].quantile(0.5)
Find difference in height,df['height'].diff()
Compute pct change for weight,df['weight'].pct_change()
Compute mode for temperature,df['temperature'].mode()
Get cumsum for expenses,df['expenses'].cumsum()
Get variation in price,df['price'].std()
Count entries in sales,df['sales'].count()
Get cummin for weight,df['weight'].cummin()
Compute value counts of price,df['price'].value_counts()
Find the average of sales,df['sales'].mean()
Calculate sum for revenue,df['revenue'].sum()
Show mean of height,df['height'].mean()
Find minimum of temperature,df['temperature'].min()
Find minimum of expenses,df['expenses'].min()
Compute mode for revenue,df['revenue'].mode()
Find skewness of score,df['score'].skew()
Find maximum of revenue,df['revenue'].max()
Show highest value for score,df['score'].max()
Show distinct entries for temperature,df['temperature'].unique()
Get cummax for age,df['age'].cummax()
Find number of records for temperature,df['temperature'].count()
Get the min of sales,df['sales'].min()
Get statistical variance of temperature,df['temperature'].var()
Get cummax for height,df['height'].cummax()
Find percentage change in score,df['score'].pct_change()
Find covariance of expenses,df.cov()['expenses']
Show mean of height,df['height'].mean()
Get unique values of profit,df['profit'].unique()
Show skew value for profit,df['profit'].skew()
Compute kurtosis for expenses,df['expenses'].kurt()
Get summary of temperature,df['temperature'].describe()
Show skew value for weight,df['weight'].skew()
Compute skew for revenue,df['revenue'].skew()
Compute percentile for sales,df['sales'].quantile(0.5)
Get middle value of age,df['age'].median()
Find cumulative max of sales,df['sales'].cummax()
Find skewness of profit,df['profit'].skew()
Get quantile for height,df['height'].quantile(0.5)
Find standard deviation of revenue,df['revenue'].std()
Find mean absolute deviation of score,df['score'].mad()
Compute pct change for revenue,df['revenue'].pct_change()
Compute mode for weight,df['weight'].mode()
Compute mode for temperature,df['temperature'].mode()
Find the average of profit,df['profit'].mean()
Find mode of revenue,df['revenue'].mode()
Get MAD of price,df['price'].mad()
Compute change for price,df['price'].diff()
Count entries in expenses,df['expenses'].count()
Find difference in age,df['age'].diff()
Show relationship of score,df.corr()['score']
Get the max of profit,df['profit'].max()
